2019-12-31 10:01:48.410| main | INFO |  -  | Application is null : false | [com.netflix.discovery.DiscoveryClient:979]
2019-12-31 10:01:48.411| main | INFO |  -  | Registered Applications size is zero : true | [com.netflix.discovery.DiscoveryClient:980]
2019-12-31 10:01:48.411| main | INFO |  -  | Application version is -1: true | [com.netflix.discovery.DiscoveryClient:982]
2019-12-31 10:01:48.411| main | INFO |  -  | Getting all instance registry info from the eureka server | [com.netflix.discovery.DiscoveryClient:1065]
2019-12-31 10:01:48.557| main | INFO |  -  | The response status is 200 | [com.netflix.discovery.DiscoveryClient:1074]
2019-12-31 10:01:48.558| main | INFO |  -  | Starting heartbeat executor: renew interval is: 30 | [com.netflix.discovery.DiscoveryClient:1288]
2019-12-31 10:01:48.564| main | INFO |  -  | InstanceInfoReplicator onDemand update allowed rate per min is 4 | [com.netflix.discovery.InstanceInfoReplicator:60]
2019-12-31 10:01:48.567| main | INFO |  -  | Discovery Client initialized at timestamp 1577757708567 with initial instances count: 3 | [com.netflix.discovery.DiscoveryClient:465]
2019-12-31 10:01:48.590| main | INFO |  -  | Registering application CLOUD-AUTH with eureka with status UP | [org.springframework.cloud.netflix.eureka.serviceregistry.EurekaServiceRegistry:41]
2019-12-31 10:01:48.591| main | INFO |  -  | Saw local status change event StatusChangeEvent [timestamp=1577757708591, current=UP, previous=STARTING] | [com.netflix.discovery.DiscoveryClient$3:1323]
2019-12-31 10:01:48.594| main | INFO |  -  | Context refreshed | [springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper:160]
2019-12-31 10:01:48.596| DiscoveryClient-InstanceInfoReplicator-0 | INFO |  -  | DiscoveryClient_CLOUD-AUTH/192.168.10.93:cloud-auth:8112: registering service... | [com.netflix.discovery.DiscoveryClient:844]
2019-12-31 10:01:48.641| main | INFO |  -  | Found 1 custom documentation plugin(s) | [springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper:163]
2019-12-31 10:01:48.682| DiscoveryClient-InstanceInfoReplicator-0 | INFO |  -  | DiscoveryClient_CLOUD-AUTH/192.168.10.93:cloud-auth:8112 - registration status: 204 | [com.netflix.discovery.DiscoveryClient:853]
2019-12-31 10:01:48.731| main | INFO |  -  | Scanning for api listing references | [springfox.documentation.spring.web.scanners.ApiListingReferenceScanner:41]
2019-12-31 10:01:48.913| main | INFO |  -  | Generating unique operation named: firstUsingGET_1 | [springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator:40]
2019-12-31 10:01:48.915| main | INFO |  -  | Generating unique operation named: firstUsingHEAD_1 | [springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator:40]
2019-12-31 10:01:48.916| main | INFO |  -  | Generating unique operation named: firstUsingPOST_1 | [springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator:40]
