2019-10-11 09:30:22.648| main | DEBUG |  -  | Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@34e07e65 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.653| main | DEBUG |  -  | Adding type registration calendar -> org.hibernate.type.CalendarType@795eddda | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.653| main | DEBUG |  -  | Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@795eddda | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.653| main | DEBUG |  -  | Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@795eddda | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.656| main | DEBUG |  -  | Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@175bf9c9 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.659| main | DEBUG |  -  | Adding type registration locale -> org.hibernate.type.LocaleType@3e2d65e1 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.659| main | DEBUG |  -  | Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@3e2d65e1 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.662| main | DEBUG |  -  | Adding type registration currency -> org.hibernate.type.CurrencyType@1987807b | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.662| main | DEBUG |  -  | Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@1987807b | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.665| main | DEBUG |  -  | Adding type registration timezone -> org.hibernate.type.TimeZoneType@2b464384 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.666| main | DEBUG |  -  | Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@2b464384 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.668| main | DEBUG |  -  | Adding type registration class -> org.hibernate.type.ClassType@11120583 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.668| main | DEBUG |  -  | Adding type registration java.lang.Class -> org.hibernate.type.ClassType@11120583 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.670| main | DEBUG |  -  | Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@3acc3ee | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.670| main | DEBUG |  -  | Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@3acc3ee | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.672| main | DEBUG |  -  | Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@32c6d164 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.676| main | DEBUG |  -  | Adding type registration binary -> org.hibernate.type.BinaryType@42403dc6 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.677| main | DEBUG |  -  | Adding type registration byte[] -> org.hibernate.type.BinaryType@42403dc6 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.677| main | DEBUG |  -  | Adding type registration [B -> org.hibernate.type.BinaryType@42403dc6 | [org.hibernate.type.BasicTypeRegistry:156]
